Art;Utkast per sluttseddel;Estimert totalt antall utkast;Estimert total vekt utkast (tonn);Utkastrate (prosent utkast av total fangst vekt)
Taskekrabbe;52,5;423432;;
Sei;12;96931;203;6,3
Trollkrabbe;9,8;79269;;
Hestmakrell;8,6;69291;33;100
Havmus;6,9;55535;61;100
Glassvar;6,8;54 643;33;100
Lysing;5,7;46 152;67;17,12
Lyr;5;40505;85;14,7
Lusuer;4,8;38552;11;100
Lomre;4,7;38085;16;97,8
Sypike;4,3;34943;2;100
Torsk;4,1;32947;62;5,87
Hvitting;4;31 928;15;98,64
Hågjel;3,6;29423;22;100
Hyse;3,5;28 107;32;4,2
Makrell;3,3;26918;8;99,93
Lange;3,3;26536;46;4,91
Knurr;3,1;25432;8;99,61
Pigghå;2,9;23776;48;61,67
Kveite;2;16474;32;47,27
Kloskate;1,8;14436;10;100
Sandflyndre;1 7;13969;4;99,18
Blåstål;1,3;10 360;2;100
Smørflyndre;1,3;10 360;2;99,96
Rognkjeks;1,2;9765;26;89,02
Berggylt;1,1;8916;5;100
Breiflabb;0,8;6708;38;3,41
Småflekket rødhai;0,8;6369;65;100
Piggskate;0,7;6071;23;100
Rødspette;0,7;5902;2;30,99
St. Petersfisk;0,6;4 628;3;100
Skjellbrosme;0,6;4 543;8;88,98
Gapeflyndre;0,3;2 378;3;100
Tiarmet blekksprut;0,3;2208;;
Sandskate;0,2;1 911;7;100
Blålange;0,2;1 825;3;37,91
Siid;0,2;1 698;0,1;100
Vanlig uer;0,2;1 444;0,5;1,96
Sjøpølse;0,2;1 359;;
Brosme;0,1;1 146;2;3,98
