"","Benthos carnivore/scavenge feeder","Benthos filter/deposit feeder","Birds","Cetacean","Demersal (non quota)","Demersal (quota limited)","Macrophyte","Migratory","Pinnipeds","Planktivore","Zooplankton carnivore","Zooplankton omnivorous"
"Dredging",0,0,0,0,0,0,0,0,0,0,0,0
"Harpoons",0,0,0,7.02465208564341e-11,0,0,0,0,0,0,0,0
"Kelp harvesting",0,0,0,0,0,0,4.11268761240388e-08,0,0,0,0,0
"Longlines_and_Gillnets",1.39175677013615e-14,0,0,4.2327197748043e-16,8.69423558133761e-09,1.38560508595532e-08,0,4.30145706321182e-11,0,2.84229058400124e-10,9.28763967789692e-15,0
"Pelagic_Trawlers",2.20081794717553e-15,0,0,0,1.64171312723317e-12,5.63114441618665e-10,0,2.24029747385492e-08,0,4.82981517985583e-08,2.98118765752861e-16,0
"Pelagic_Trawlers_and_Seines",1.99163377120609e-16,0,0,0,8.51362202602168e-12,1.35753896163634e-09,0,3.3575783741584e-09,0,1.58731534207706e-08,9.70957749990449e-14,0
"Pots",1.09098562302492e-11,4.04138708666048e-13,0,0,8.42160757732058e-13,2.78833785706716e-13,0,0,0,0,0,0
"Recreational",0,0,0,0,0,1.27768760629112e-08,0,2.5927102400388e-11,0,0,0,0
"Seiners",1.09947970230817e-14,1.78474854018041e-16,0,1.17014142176927e-13,2.00098810850823e-10,1.58947199710633e-08,0,1.10911312609418e-07,0,1.75120444127472e-07,1.02581790949278e-14,0
"Shelf_Trawlers",3.06989716215497e-11,2.57328225658595e-15,0,5.555807657226e-14,3.54795260141896e-09,6.78817363644257e-08,0,5.60710179378407e-09,0,3.35351795526145e-08,2.66779232948329e-12,0
