;Benthos carnivore/scavenge feeder;Benthos filter/deposit feeder;Birds;Cetacean;Demersal (non quota);Demersal (quota limited);Macrophyte;Migratory;Pinnipeds;Planktivore;Zooplankton carnivore;Zooplankton omnivorous
Dredging;0;0;0;0;8.04E-15;2.46E-12;0;0;0;7.01E-14;0;0
Harpoons;0;0;0;7.02E-11;0;0;0;0;0;0;0;0
Kelp harvesting;0;0;0;0;0;0;4.11E-08;0;0;0;0;0
Longlines_and_Gillnets;2.42E-13;0;0;1.87E-13;1.88E-08;2.74E-08;0;4.07E-10;0;3.99E-10;1.77E-14;0
Pelagic_Trawlers_and_Seines;1.49E-12;5.02E-17;0;2.19E-14;1.16E-10;1.83E-08;0;2.77E-07;0;2.45E-07;7.87E-12;0
Pots;1.39E-11;4.04E-13;0;0;2.83E-12;2.37E-12;0;0;0;4.17E-14;0;0
Recreational;0;0;0;0;0;1.28E-08;0;2.59E-11;0;0;0;0
Shelf_Trawlers;3.25E-11;1.87E-12;0;5.56E-14;3.71E-09;7.77E-08;0;1.42E-08;0;4.14E-08;1.25E-11;0
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
